CalendarKey,Date,DayOfMonth,Month,MonthLong,MonthName,MonthNr,YearMonth,MonthStart,MonthEnd,Quarter,QuarterName,QuarterNr,Year,IsoWeek,IsoYear,YearWeek,DayOfWeek,DayNameLong,DayNameShort,CurrentMonth,CurrentWeek,HolidayBE,HolidayDE,HolidayES,HolidayFR,HolidayNL,Weekend
20150101,2015-01-01,1,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,1,2015,201501,4,Thursday,Thu,2015 Jan,1 - 2015,1,1,1,1,1,Weekday
20150102,2015-01-02,2,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,1,2015,201501,5,Friday,Fri,2015 Jan,1 - 2015,0,0,0,0,0,Weekday
20150103,2015-01-03,3,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,1,2015,201501,6,Saturday,Sat,2015 Jan,1 - 2015,0,0,0,0,0,Weekend
20150104,2015-01-04,4,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,1,2015,201501,7,Sunday,Sun,2015 Jan,1 - 2015,0,0,0,0,0,Weekend
20150105,2015-01-05,5,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,2,2015,201502,1,Monday,Mon,2015 Jan,2 - 2015,0,0,0,0,0,Weekday
20150106,2015-01-06,6,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,2,2015,201502,2,Tuesday,Tue,2015 Jan,2 - 2015,0,0,1,0,0,Weekday
20150107,2015-01-07,7,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,2,2015,201502,3,Wednesday,Wed,2015 Jan,2 - 2015,0,0,0,0,0,Weekday
20150108,2015-01-08,8,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,2,2015,201502,4,Thursday,Thu,2015 Jan,2 - 2015,0,0,0,0,0,Weekday
20150109,2015-01-09,9,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,2,2015,201502,5,Friday,Fri,2015 Jan,2 - 2015,0,0,0,0,0,Weekday
20150110,2015-01-10,10,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,2,2015,201502,6,Saturday,Sat,2015 Jan,2 - 2015,0,0,0,0,0,Weekend
20150111,2015-01-11,11,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,2,2015,201502,7,Sunday,Sun,2015 Jan,2 - 2015,0,0,0,0,0,Weekend
20150112,2015-01-12,12,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,3,2015,201503,1,Monday,Mon,2015 Jan,3 - 2015,0,0,0,0,0,Weekday
20150113,2015-01-13,13,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,3,2015,201503,2,Tuesday,Tue,2015 Jan,3 - 2015,0,0,0,0,0,Weekday
20150114,2015-01-14,14,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,3,2015,201503,3,Wednesday,Wed,2015 Jan,3 - 2015,0,0,0,0,0,Weekday
20150115,2015-01-15,15,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,3,2015,201503,4,Thursday,Thu,2015 Jan,3 - 2015,0,0,0,0,0,Weekday
20150116,2015-01-16,16,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,3,2015,201503,5,Friday,Fri,2015 Jan,3 - 2015,0,0,0,0,0,Weekday
20150117,2015-01-17,17,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,3,2015,201503,6,Saturday,Sat,2015 Jan,3 - 2015,0,0,0,0,0,Weekend
20150118,2015-01-18,18,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,3,2015,201503,7,Sunday,Sun,2015 Jan,3 - 2015,0,0,0,0,0,Weekend
20150119,2015-01-19,19,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,4,2015,201504,1,Monday,Mon,2015 Jan,4 - 2015,0,0,0,0,0,Weekday
20150120,2015-01-20,20,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,4,2015,201504,2,Tuesday,Tue,2015 Jan,4 - 2015,0,0,0,0,0,Weekday
20150121,2015-01-21,21,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,4,2015,201504,3,Wednesday,Wed,2015 Jan,4 - 2015,0,0,0,0,0,Weekday
20150122,2015-01-22,22,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,4,2015,201504,4,Thursday,Thu,2015 Jan,4 - 2015,0,0,0,0,0,Weekday
20150123,2015-01-23,23,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,4,2015,201504,5,Friday,Fri,2015 Jan,4 - 2015,0,0,0,0,0,Weekday
20150124,2015-01-24,24,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,4,2015,201504,6,Saturday,Sat,2015 Jan,4 - 2015,0,0,0,0,0,Weekend
20150125,2015-01-25,25,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,4,2015,201504,7,Sunday,Sun,2015 Jan,4 - 2015,0,0,0,0,0,Weekend
20150126,2015-01-26,26,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,5,2015,201505,1,Monday,Mon,2015 Jan,5 - 2015,0,0,0,0,0,Weekday
20150127,2015-01-27,27,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,5,2015,201505,2,Tuesday,Tue,2015 Jan,5 - 2015,0,0,0,0,0,Weekday
20150128,2015-01-28,28,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,5,2015,201505,3,Wednesday,Wed,2015 Jan,5 - 2015,0,0,0,0,0,Weekday
20150129,2015-01-29,29,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,5,2015,201505,4,Thursday,Thu,2015 Jan,5 - 2015,0,0,0,0,0,Weekday
20150130,2015-01-30,30,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,5,2015,201505,5,Friday,Fri,2015 Jan,5 - 2015,0,0,0,0,0,Weekday
20150131,2015-01-31,31,2015 Jan,2015 January,Jan,1,201501,2015-01-01,2015-01-31,2015 Q1,Q1,1,2015,5,2015,201505,6,Saturday,Sat,2015 Jan,5 - 2015,0,0,0,0,0,Weekend
20150201,2015-02-01,1,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,5,2015,201505,7,Sunday,Sun,2015 Feb,5 - 2015,0,0,0,0,0,Weekend
20150202,2015-02-02,2,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,6,2015,201506,1,Monday,Mon,2015 Feb,6 - 2015,0,0,0,0,0,Weekday
20150203,2015-02-03,3,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,6,2015,201506,2,Tuesday,Tue,2015 Feb,6 - 2015,0,0,0,0,0,Weekday
20150204,2015-02-04,4,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,6,2015,201506,3,Wednesday,Wed,2015 Feb,6 - 2015,0,0,0,0,0,Weekday
20150205,2015-02-05,5,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,6,2015,201506,4,Thursday,Thu,2015 Feb,6 - 2015,0,0,0,0,0,Weekday
20150206,2015-02-06,6,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,6,2015,201506,5,Friday,Fri,2015 Feb,6 - 2015,0,0,0,0,0,Weekday
20150207,2015-02-07,7,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,6,2015,201506,6,Saturday,Sat,2015 Feb,6 - 2015,0,0,0,0,0,Weekend
20150208,2015-02-08,8,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,6,2015,201506,7,Sunday,Sun,2015 Feb,6 - 2015,0,0,0,0,0,Weekend
20150209,2015-02-09,9,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,7,2015,201507,1,Monday,Mon,2015 Feb,7 - 2015,0,0,0,0,0,Weekday
20150210,2015-02-10,10,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,7,2015,201507,2,Tuesday,Tue,2015 Feb,7 - 2015,0,0,0,0,0,Weekday
20150211,2015-02-11,11,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,7,2015,201507,3,Wednesday,Wed,2015 Feb,7 - 2015,0,0,0,0,0,Weekday
20150212,2015-02-12,12,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,7,2015,201507,4,Thursday,Thu,2015 Feb,7 - 2015,0,0,0,0,0,Weekday
20150213,2015-02-13,13,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,7,2015,201507,5,Friday,Fri,2015 Feb,7 - 2015,0,0,0,0,0,Weekday
20150214,2015-02-14,14,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,7,2015,201507,6,Saturday,Sat,2015 Feb,7 - 2015,0,0,0,0,0,Weekend
20150215,2015-02-15,15,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,7,2015,201507,7,Sunday,Sun,2015 Feb,7 - 2015,0,0,0,0,0,Weekend
20150216,2015-02-16,16,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,8,2015,201508,1,Monday,Mon,2015 Feb,8 - 2015,0,0,0,0,0,Weekday
20150217,2015-02-17,17,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,8,2015,201508,2,Tuesday,Tue,2015 Feb,8 - 2015,0,0,0,0,0,Weekday
20150218,2015-02-18,18,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,8,2015,201508,3,Wednesday,Wed,2015 Feb,8 - 2015,0,0,0,0,0,Weekday
20150219,2015-02-19,19,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,8,2015,201508,4,Thursday,Thu,2015 Feb,8 - 2015,0,0,0,0,0,Weekday
20150220,2015-02-20,20,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,8,2015,201508,5,Friday,Fri,2015 Feb,8 - 2015,0,0,0,0,0,Weekday
20150221,2015-02-21,21,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,8,2015,201508,6,Saturday,Sat,2015 Feb,8 - 2015,0,0,0,0,0,Weekend
20150222,2015-02-22,22,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,8,2015,201508,7,Sunday,Sun,2015 Feb,8 - 2015,0,0,0,0,0,Weekend
20150223,2015-02-23,23,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,9,2015,201509,1,Monday,Mon,2015 Feb,9 - 2015,0,0,0,0,0,Weekday
20150224,2015-02-24,24,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,9,2015,201509,2,Tuesday,Tue,2015 Feb,9 - 2015,0,0,0,0,0,Weekday
20150225,2015-02-25,25,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,9,2015,201509,3,Wednesday,Wed,2015 Feb,9 - 2015,0,0,0,0,0,Weekday
